央视频道v6,#genre#
军事评论,http://[2409:8087:2001:20:2800:0:df6e:eb18]:80/wh7f454c46tw3373254713_-1111569189/ott.mobaibox.com/PLTV/3/224/3221227544/index.m3u8
明星大片,http://[2409:8087:2001:20:2800:0:df6e:eb18]:80/wh7f454c46tw2856695654_946966165/ott.mobaibox.com/PLTV/3/224/3221227594/index.m3u8
东北热剧,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225741/index.m3u8
欢乐剧场,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225742/index.m3u8

其他频道v6,#genre#
家庭理财,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001278/index.m3u8
财富天下,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001219/index.m3u8
纯享超清,http://[2409:8087:2001:20:2800:0:df6e:eb26]:80/ott.mobaibox.com/PLTV/3/224/3221228472/index.m3u8
中国天气,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001102/index.m3u8

百视频道v6,#genre#
Bestv导视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001162/index.m3u8
Bestv赛事直播1,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001359/index.m3u8
Bestv赛事直播2,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001388/index.m3u8
Bestv赛事直播3,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001152/index.m3u8
Bestv赛事直播4,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001153/index.m3u8

数字频道v6,#genre#
CHC动作电影,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002055/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC家庭影院,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002085/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC高清电影,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002065/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
中国教育1台,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001020/index.m3u8
中国教育2台,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001226/index.m3u8
中国教育4台,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001348/index.m3u8
金色学堂,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001194/index.m3u8
北京纪实科教,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001329/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
卡酷少儿,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001245/index.m3u8
金鹰纪实,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001230/index.m3u8
金鹰卡通,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001098/index.m3u8
茶友频道,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001234/index.m3u8
快乐垂钓,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001235/index.m3u8
嘉佳卡通,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001227/index.m3u8
动漫秀场,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001196/index.m3u8
哈哈炫动,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001232/index.m3u8
游戏风云,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001192/index.m3u8
兵器科技,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226975/index.m3u8
怀旧剧场,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226972/index.m3u8
世界地理,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226947/index.m3u8
文化精品,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226981/index.m3u8
央视台球,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226956/index.m3u8
央视高网,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226978/index.m3u8
风云剧场,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226950/index.m3u8
风云音乐,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226953/index.m3u8
第一剧场,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226959/index.m3u8
女性时尚,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226969/index.m3u8
风云足球,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226984/index.m3u8
电视指南,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226987/index.m3u8

求索系列v6,#genre#
求索动物,http://[2409:8087:7001:20:1000::95]:6610/000000001000/6000000002000010046/index.m3u8?channel-id=wasusyt&Contentid=6000000002000010046&livemode=1&stbId=3
求索记录,http://[2409:8087:7001:20:1000::95]:6610/000000001000/6000000002000032052/index.m3u8?channel-id=wasusyt&Contentid=6000000002000032052&livemode=1&stbId=3
求索科学,http://[2409:8087:7001:20:1000::95]:6610/000000001000/6000000002000032344/index.m3u8?channel-id=wasusyt&Contentid=6000000002000032344&livemode=1&stbId=3
求索生活,http://[2409:8087:7001:20:1000::95]:6610/000000001000/6000000002000003382/index.m3u8?channel-id=wasusyt&Contentid=6000000002000003382&livemode=1&stbId=3

凤凰频道v6,#genre#
凤凰中文,http://[2409:8087:2001:20:2800:0:df6e:eb24]:80/ott.mobaibox.com/PLTV/3/224/3221228527/index.m3u8
凤凰资讯,http://[2409:8087:2001:20:2800:0:df6e:eb27]:80/ott.mobaibox.com/PLTV/3/224/3221228524/index.m3u8
凤凰香港,http://[2409:8087:2001:20:2800:0:df6e:eb1d]:80/ott.mobaibox.com/PLTV/1/224/3221228530/1.m3u8

埋堆堆,#genre#
埋堆堆1,http://43.128.40.42:198/虎牙直播/huya.php?id=23749096
埋堆堆2,http://43.128.40.42:198/虎牙直播/huya.php?id=23735126
埋堆堆3,http://43.128.40.42:198/虎牙直播/huya.php?id=23865152
埋堆堆4,http://43.128.40.42:198/虎牙直播/huya.php?id=23903196
埋堆堆5,http://43.128.40.42:198/虎牙直播/huya.php?id=23740156
埋堆堆8,http://43.128.40.42:198/虎牙直播/huya.php?id=23865058
埋堆堆9,http://43.128.40.42:198/虎牙直播/huya.php?id=23734183
埋堆堆11,http://43.128.40.42:198/虎牙直播/huya.php?id=23865036
埋堆堆23,http://43.128.40.42:198/虎牙直播/huya.php?id=23734246
埋堆堆28,http://43.128.40.42:198/虎牙直播/huya.php?id=23863796
埋堆堆30,http://43.128.40.42:198/虎牙直播/huya.php?id=23749083
埋堆堆42,http://43.128.40.42:198/虎牙直播/huya.php?id=23863804
埋堆堆47,http://43.128.40.42:198/虎牙直播/huya.php?id=23865142
埋堆堆49,http://43.128.40.42:198/虎牙直播/huya.php?id=23903183
埋堆堆54,http://43.128.40.42:198/虎牙直播/huya.php?id=23903130
埋堆堆56,http://43.128.40.42:198/虎牙直播/huya.php?id=23734169
埋堆堆61,http://43.128.40.42:198/虎牙直播/huya.php?id=23728674

4K频道,#genre#
欢笑剧场4K,http://8.134.248.59:5678/cqyx.php?id=hxjc_4K
CCTV-4K,http://8.134.248.59:5678/cqyx.php?id=CCTV4K
CCTV16-4K,http://8.134.248.59:5678/cqyx.php?id=CCTV16_4K
4K60PSDR-H264-AAC测试,http://159.75.85.63:5680/d/ad/h264/playad.m3u8
4K60PHLG-HEVC-EAC3测试,http://159.75.85.63:5680/d/ad/playad.m3u8

央视,#genre#
CCTV1综合高清,http://8.134.248.59:5678/cqyx.php?id=cctv1HD
CCTV2财经高清,http://8.134.248.59:5678/cqyx.php?id=cctv2HD
CCTV3综艺高清,http://8.134.248.59:5678/cqyx.php?id=cctv3HD
CCTV4中文国际高清,http://8.134.248.59:5678/cqyx.php?id=cctv4HD
CCTV5体育高清,http://8.134.248.59:5678/cqyx.php?id=cctv5HD
CCTV5P高清,http://8.134.248.59:5678/cqyx.php?id=cctv5SportHD
CCTV6电影高清,http://8.134.248.59:5678/cqyx.php?id=cctv6HD
CCTV7国防军事高清,http://8.134.248.59:5678/cqyx.php?id=cctv7HD
CCTV8电视剧高清,http://8.134.248.59:5678/cqyx.php?id=cctv8HD
CCTV9纪录高清,http://8.134.248.59:5678/cqyx.php?id=cctv9HD
CCTV10科教高清,http://8.134.248.59:5678/cqyx.php?id=cctv10HD
CCTV11戏曲高清,http://8.134.248.59:5678/cqyx.php?id=cctv11HD
CCTV12社会与法高清,http://8.134.248.59:5678/cqyx.php?id=cctv12HD
CCTV13新闻高清,http://8.134.248.59:5678/cqyx.php?id=CCTVNewsHD
CCTV14少儿高清,http://8.134.248.59:5678/cqyx.php?id=cctvseHD
CCTV15音乐高清,http://8.134.248.59:5678/cqyx.php?id=cctv15HD
CCTV16奥林匹克高清,http://8.134.248.59:5678/cqyx.php?id=cctv16HD
CCTV17农业农村高清,http://8.134.248.59:5678/cqyx.php?id=cctv17HD
CGTN,http://8.134.248.59:5678/cqyx.php?id=cgtnSD
第一剧场高清,http://8.134.248.59:5678/cqyx.php?id=diyijuchangHD
风云剧场高清,http://8.134.248.59:5678/cqyx.php?id=fyjcHD
兵器科技高清,http://8.134.248.59:5678/cqyx.php?id=bqkjHD
怀旧剧场高清,http://8.134.248.59:5678/cqyx.php?id=hjjcHD
风云音乐高清,http://8.134.248.59:5678/cqyx.php?id=fyyyHD
央视台球高清,http://8.134.248.59:5678/cqyx.php?id=ystqHD
风云足球高清,http://8.134.248.59:5678/cqyx.php?id=fyzqHD
央视文化精品高清,http://8.134.248.59:5678/cqyx.php?id=yswhHD
高尔夫网球高清,http://8.134.248.59:5678/cqyx.php?id=golfHD
女性时尚,http://8.134.248.59:5678/cqyx.php?id=nvxing
中学生,http://8.134.248.59:5678/cqyx.php?id=qicai
老故事,http://8.134.248.59:5678/cqyx.php?id=gushi

卫视,#genre#
重庆卫视高清,http://8.134.248.59:5678/cqyx.php?id=chongqingHD
江苏卫视高清,http://8.134.248.59:5678/cqyx.php?id=jiangsuHD
北京卫视高清,http://8.134.248.59:5678/cqyx.php?id=beijingHD
浙江卫视高清,http://8.134.248.59:5678/cqyx.php?id=zhejiangHD
东方卫视高清,http://8.134.248.59:5678/cqyx.php?id=shanghaiHD
深圳卫视高清,http://8.134.248.59:5678/cqyx.php?id=shenzhenHD
辽宁卫视高清,http://8.134.248.59:5678/cqyx.php?id=liaoningHD
天津卫视高清,http://8.134.248.59:5678/cqyx.php?id=tianjinHD
贵州卫视高清,http://8.134.248.59:5678/cqyx.php?id=guizhouHD
四川卫视高清,http://8.134.248.59:5678/cqyx.php?id=sichuanHD
云南卫视高清,http://8.134.248.59:5678/cqyx.php?id=yunnanSD
东南卫视高清,http://8.134.248.59:5678/cqyx.php?id=dongnanHD
黑龙江卫视高清,http://8.134.248.59:5678/cqyx.php?id=heilongjiangHD
安徽卫视高清,http://8.134.248.59:5678/cqyx.php?id=anhuiSD
河北卫视高清,http://8.134.248.59:5678/cqyx.php?id=hebeiSD
江西卫视高清,http://8.134.248.59:5678/cqyx.php?id=jiangxiHD
湖北卫视高清,http://8.134.248.59:5678/cqyx.php?id=hubeiSD
海南卫视高清,http://8.134.248.59:5678/cqyx.php?id=hainanSD
吉林卫视高清,http://8.134.248.59:5678/cqyx.php?id=jilinHD
广西卫视高清,http://8.134.248.59:5678/cqyx.php?id=guangxiHD
内蒙古卫视,http://8.134.248.59:5678/cqyx.php?id=neimengkuSD
湖南卫视高清,http://8.134.248.59:5678/cqyx.php?id=hunanHD
广东卫视高清,http://8.134.248.59:5678/cqyx.php?id=guangdongHD
河南卫视高清,http://8.134.248.59:5678/cqyx.php?id=henanHD
山西卫视,http://8.134.248.59:5678/cqyx.php?id=shanxiSD
兵团卫视,http://8.134.248.59:5678/cqyx.php?id=bingtuanSD
宁夏卫视,http://8.134.248.59:5678/cqyx.php?id=ningxia
三沙卫视,http://8.134.248.59:5678/cqyx.php?id=sanshaSD
青海卫视,http://8.134.248.59:5678/cqyx.php?id=qinghaiSD
山东教育卫视,http://8.134.248.59:5678/cqyx.php?id=sdjiaoyuSD
新疆卫视,http://8.134.248.59:5678/cqyx.php?id=xinjiangSD
西藏卫视,http://8.134.248.59:5678/cqyx.php?id=xizangSD

北京,#genre#
北京卡酷少儿,http://8.134.248.59:5678/cqyx.php?id=bjkakuSD
北京纪实科教高清,http://8.134.248.59:5678/cqyx.php?id=bjayjsSD

其他,#genre#
金鹰卡通高清,http://8.134.248.59:5678/cqyx.php?id=jinyingSD
中国天气,http://8.134.248.59:5678/cqyx.php?id=tianqiSD
CETV-1,http://8.134.248.59:5678/cqyx.php?id=cetv-1SD
CETV-4,http://8.134.248.59:5678/cqyx.php?id=cetv-4SD
生活时尚,http://8.134.248.59:5678/cqyx.php?id=shenghuo
百姓健康,http://8.134.248.59:5678/cqyx.php?id=jiankangSD
快乐垂钓高清,http://8.134.248.59:5678/cqyx.php?id=klcdHD
都市剧场高清,http://8.134.248.59:5678/cqyx.php?id=dsjcHD
动漫秀场高清,http://8.134.248.59:5678/cqyx.php?id=dmxcHD
魅力足球高清,http://8.134.248.59:5678/cqyx.php?id=mlzqHD
求索纪录高清,http://8.134.248.59:5678/cqyx.php?id=qsjlHD
游戏风云高清,http://8.134.248.59:5678/cqyx.php?id=yxfyHD
早期教育高清,http://8.134.248.59:5678/cqyx.php?id=zaojiaoHD
爱看导视高清,http://8.134.248.59:5678/cqyx.php?id=aikanHD
重广融媒,http://8.134.248.59:5678/cqyx.php?id=cqrongmei
东方财经高清,http://8.134.248.59:5678/cqyx.php?id=dfcj
证券服务,http://8.134.248.59:5678/cqyx.php?id=jiazheng
书画,http://8.134.248.59:5678/cqyx.php?id=shuhua
新动漫,http://8.134.248.59:5678/cqyx.php?id=dongman
国学频道,http://8.134.248.59:5678/cqyx.php?id=guoxue
优优宝贝,http://8.134.248.59:5678/cqyx.php?id=youxi
中华特产,http://8.134.248.59:5678/cqyx.php?id=techan
环球奇观,http://8.134.248.59:5678/cqyx.php?id=car
生态环境,http://8.134.248.59:5678/cqyx.php?id=shengtai
四海钓鱼,http://8.134.248.59:5678/cqyx.php?id=diaoyu
发现之旅,http://8.134.248.59:5678/cqyx.php?id=faxian
车迷,http://8.134.248.59:5678/cqyx.php?id=doxtv
法治天地,http://8.134.248.59:5678/cqyx.php?id=fazhi
金色学堂,http://8.134.248.59:5678/cqyx.php?id=jinse
收藏天下,http://8.134.248.59:5678/cqyx.php?id=soucang
财富天下,http://8.134.248.59:5678/cqyx.php?id=caifu
天元围棋,http://8.134.248.59:5678/cqyx.php?id=weiqi
先锋乒羽,http://8.134.248.59:5678/cqyx.php?id=xianfeng
环球旅游,http://8.134.248.59:5678/cqyx.php?id=huanqiulvyou
摄影频道,http://8.134.248.59:5678/cqyx.php?id=sheying

重庆,#genre#
重庆新闻高清,http://8.134.248.59:5678/cqyx.php?id=CQTVNewsHD
重庆影视高清,http://8.134.248.59:5678/cqyx.php?id=cqyingshiHD
重庆社会与法高清,http://8.134.248.59:5678/cqyx.php?id=CQTVTrendyHD
重庆时尚生活高清,http://8.134.248.59:5678/cqyx.php?id=cqssgwHD
重庆文体娱乐高清,http://8.134.248.59:5678/cqyx.php?id=cqwtylHD
重庆新农村高清,http://8.134.248.59:5678/cqyx.php?id=cqggncHD
重庆少儿高清,http://8.134.248.59:5678/cqyx.php?id=cqseHD
重庆科教高清,http://8.134.248.59:5678/cqyx.php?id=CQTVkejiaoHD
重庆汽摩高清,http://8.134.248.59:5678/cqyx.php?id=cqcarSD
重庆移动高清,http://8.134.248.59:5678/cqyx.php?id=mryyHD
